time,open,high,low,close,tick_volume
2025-01-30 08:00:00,1.04218,1.04226,1.04107,1.04138,1174
2025-01-30 09:00:00,1.04138,1.04237,1.04093,1.04232,1689
2025-01-30 10:00:00,1.04259,1.04288,1.04161,1.04216,2224
2025-01-30 11:00:00,1.04218,1.04223,1.0402,1.04074,2490
2025-01-30 12:00:00,1.04072,1.0412,1.03958,1.04006,2109
2025-01-30 13:00:00,1.04005,1.04005,1.03912,1.03917,1856
2025-01-30 14:00:00,1.03917,1.04058,1.03901,1.04033,1945
2025-01-30 15:00:00,1.04034,1.04598,1.04013,1.04571,3587
2025-01-30 16:00:00,1.04561,1.04676,1.04193,1.04281,3927
2025-01-30 17:00:00,1.04283,1.04423,1.04269,1.0431300000000001,3243
2025-01-30 18:00:00,1.04309,1.04345,1.04168,1.04195,2459
2025-01-30 19:00:00,1.04195,1.04231,1.04094,1.04169,2073
2025-01-30 20:00:00,1.04171,1.04254,1.04156,1.04251,1390
2025-01-30 21:00:00,1.04249,1.04301,1.04228,1.04279,1079
2025-01-30 22:00:00,1.04282,1.04323,1.03861,1.04075,2673
2025-01-30 23:00:00,1.04074,1.0414,1.03868,1.03868,1972
2025-01-31 00:00:00,1.0381,1.03927,1.0381,1.03875,475
2025-01-31 01:00:00,1.03866,1.0398,1.03848,1.03967,926
2025-01-31 02:00:00,1.03967,1.04022,1.03851,1.03867,1238
2025-01-31 03:00:00,1.03862,1.03923,1.03766,1.03885,1768
2025-01-31 04:00:00,1.03886,1.03949,1.03867,1.03894,1472
2025-01-31 05:00:00,1.03893,1.03913,1.03836,1.03848,1103
2025-01-31 06:00:00,1.03849,1.03897,1.03827,1.03873,976
2025-01-31 07:00:00,1.03871,1.03906,1.03845,1.03887,1150
2025-01-31 08:00:00,1.03887,1.03954,1.03873,1.03944,1209
2025-01-31 09:00:00,1.03943,1.04126,1.03917,1.04042,2349
2025-01-31 10:00:00,1.04041,1.04067,1.038,1.03842,2354
2025-01-31 11:00:00,1.03841,1.03847,1.0365199999999999,1.03834,2880
2025-01-31 12:00:00,1.03833,1.03836,1.03737,1.03762,2227
2025-01-31 13:00:00,1.03763,1.03799,1.03719,1.03757,1878
2025-01-31 14:00:00,1.0376,1.03854,1.03744,1.03825,1906
2025-01-31 15:00:00,1.03828,1.03951,1.03768,1.0382,3097
2025-01-31 16:00:00,1.03824,1.03825,1.0366900000000001,1.03685,3055
2025-01-31 17:00:00,1.0369,1.04006,1.03603,1.03963,3386
2025-01-31 18:00:00,1.03959,1.04075,1.03863,1.03996,2873
2025-01-31 19:00:00,1.03995,1.04338,1.03909,1.04201,3778
2025-01-31 20:00:00,1.04199,1.04217,1.03612,1.03699,3995
2025-01-31 21:00:00,1.03697,1.0379,1.03644,1.03762,3049
2025-01-31 22:00:00,1.03753,1.03816,1.03631,1.03737,2712
2025-01-31 23:00:00,1.03734,1.03872,1.03496,1.0364,2566
2025-02-03 00:00:00,1.02509,1.02557,1.02378,1.0249,1203
2025-02-03 01:00:00,1.02497,1.02698,1.02332,1.0247,3375
2025-02-03 02:00:00,1.0246,1.02672,1.02111,1.02318,3933
2025-02-03 03:00:00,1.02313,1.02522,1.02219,1.02378,3105
2025-02-03 04:00:00,1.02378,1.02379,1.0221,1.02235,2828
2025-02-03 05:00:00,1.02236,1.02247,1.02122,1.02214,1987
2025-02-03 06:00:00,1.02213,1.02396,1.02205,1.02265,2458
2025-02-03 07:00:00,1.02266,1.0243,1.02256,1.02401,1918
2025-02-03 08:00:00,1.02401,1.02515,1.02394,1.02431,2137
2025-02-03 09:00:00,1.02432,1.02491,1.02219,1.02246,3103
2025-02-03 10:00:00,1.02251,1.02511,1.02129,1.02438,3459
2025-02-03 11:00:00,1.02437,1.02541,1.02256,1.02297,2702
2025-02-03 12:00:00,1.02296,1.02442,1.02296,1.02435,2288
2025-02-03 13:00:00,1.02435,1.02556,1.02363,1.02522,2216
2025-02-03 14:00:00,1.02522,1.02778,1.02514,1.02576,2610
2025-02-03 15:00:00,1.02582,1.02871,1.02576,1.02638,3193
2025-02-03 16:00:00,1.02634,1.02659,1.02472,1.02491,3476
2025-02-03 17:00:00,1.02462,1.03351,1.02416,1.0316,5550
2025-02-03 18:00:00,1.0316,1.03215,1.02728,1.02761,4577
2025-02-03 19:00:00,1.02762,1.03018,1.02706,1.02796,3524
2025-02-03 20:00:00,1.02792,1.02875,1.02688,1.02784,2973
2025-02-03 21:00:00,1.02784,1.02969,1.02784,1.02844,1995
2025-02-03 22:00:00,1.02849,1.02991,1.02828,1.02958,1558
2025-02-03 23:00:00,1.02951,1.03498,1.02927,1.03435,2409
2025-02-04 00:00:00,1.03402,1.03454,1.03194,1.03409,406
2025-02-04 01:00:00,1.03405,1.03504,1.03263,1.03279,1732
2025-02-04 02:00:00,1.03279,1.03307,1.03162,1.03179,1519
2025-02-04 03:00:00,1.03178,1.03225,1.03085,1.03218,2020
2025-02-04 04:00:00,1.03218,1.03238,1.03164,1.03219,1726
2025-02-04 05:00:00,1.03218,1.03238,1.03116,1.03144,1408
2025-02-04 06:00:00,1.03146,1.03149,1.03059,1.0306,1186
2025-02-04 07:00:00,1.03059,1.03059,1.02717,1.02931,3136
2025-02-04 08:00:00,1.02931,1.03075,1.02922,1.03065,1781
2025-02-04 09:00:00,1.03059,1.03169,1.03001,1.0311,2255
2025-02-04 10:00:00,1.03112,1.03351,1.03088,1.03342,3298
2025-02-04 11:00:00,1.03342,1.03493,1.03323,1.03385,2466
2025-02-04 12:00:00,1.03381,1.03432,1.03253,1.0334699999999999,1861
2025-02-04 13:00:00,1.03349,1.03349,1.0322,1.03221,1684
2025-02-04 14:00:00,1.0322,1.03283,1.03201,1.03252,1976
2025-02-04 15:00:00,1.03251,1.03403,1.03239,1.03402,2459
2025-02-04 16:00:00,1.03406,1.03658,1.03401,1.03583,3146
2025-02-04 17:00:00,1.03583,1.03858,1.0357,1.03802,3950
2025-02-04 18:00:00,1.038,1.03872,1.03732,1.03783,2780
2025-02-04 19:00:00,1.03782,1.03788,1.03656,1.03766,2563
2025-02-04 20:00:00,1.03766,1.03861,1.03744,1.03809,1568
2025-02-04 21:00:00,1.03813,1.03853,1.0377,1.03812,1590
2025-02-04 22:00:00,1.03818,1.03857,1.03793,1.03852,1213
2025-02-04 23:00:00,1.03854,1.03875,1.0377,1.03773,770
2025-02-05 00:00:00,1.03739,1.03791,1.03687,1.03768,393
2025-02-05 01:00:00,1.0376,1.03802,1.0371,1.03714,744
2025-02-05 02:00:00,1.03716,1.03817,1.03697,1.03787,1294
