time,open,high,low,close,tick_volume,spread,real_volume
2024-11-11 21:30:00,2618.93,2620.11,2618.04,2619.11,1384,5,0
2024-11-11 22:00:00,2619.25,2623.1,2619.25,2622.22,1513,14,0
2024-11-11 22:30:00,2622.23,2626.17,2621.96,2621.96,1672,14,0
2024-11-11 23:00:00,2621.96,2623.04,2621.96,2622.37,675,14,0
2024-11-11 23:30:00,2622.32,2622.5,2619.17,2619.3,621,5,0
2024-11-12 01:00:00,2619.5,2622.16,2619.29,2622.07,665,5,0
2024-11-12 01:30:00,2622.06,2624.09,2621.78,2624.01,664,5,0
2024-11-12 02:00:00,2624.02,2624.13,2622.25,2623.81,1141,5,0
2024-11-12 02:30:00,2623.8,2625.08,2622.89,2624.02,1406,5,0
2024-11-12 03:00:00,2623.99,2625.74,2619.2,2619.31,2484,13,0
2024-11-12 03:30:00,2619.31,2627.13,2619.28,2624.05,2626,10,0
2024-11-12 04:00:00,2623.97,2625.3,2620.64,2624.6,2266,14,0
2024-11-12 04:30:00,2624.62,2625.43,2620.47,2622.04,2384,14,0
2024-11-12 05:00:00,2622.01,2623.79,2621.63,2623.04,1945,15,0
2024-11-12 05:30:00,2623.06,2623.18,2618.75,2618.93,1617,14,0
2024-11-12 06:00:00,2618.83,2619.08,2615.75,2617.01,1794,13,0
2024-11-12 06:30:00,2617.09,2618.02,2615.57,2617.76,1428,14,0
2024-11-12 07:00:00,2617.9,2618.13,2611.61,2612.72,1777,14,0
2024-11-12 07:30:00,2612.63,2613.07,2605.4,2606.89,2888,13,0
2024-11-12 08:00:00,2606.84,2608.16,2603.47,2607.39,2696,5,0
2024-11-12 08:30:00,2607.44,2610.14,2603.53,2607.94,2545,10,0
2024-11-12 09:00:00,2607.91,2609.05,2599.77,2604.41,2356,5,0
2024-11-12 09:30:00,2604.52,2604.62,2595.14,2598.06,2627,5,0
2024-11-12 10:00:00,2598.51,2606.49,2598.01,2602.03,2715,9,0
2024-11-12 10:30:00,2602.0,2603.13,2599.49,2600.64,2355,5,0
2024-11-12 11:00:00,2600.39,2600.75,2590.87,2594.57,2714,5,0
2024-11-12 11:30:00,2594.61,2596.29,2591.61,2593.31,2243,5,0
2024-11-12 12:00:00,2593.28,2595.87,2589.81,2591.91,2355,6,0
2024-11-12 12:30:00,2592.02,2598.63,2590.55,2596.69,2303,5,0
2024-11-12 13:00:00,2596.7,2599.13,2592.44,2597.99,2398,12,0
2024-11-12 13:30:00,2597.98,2598.97,2593.13,2597.83,2374,10,0
2024-11-12 14:00:00,2597.84,2604.59,2597.84,2602.35,2583,14,0
2024-11-12 14:30:00,2602.57,2607.09,2600.78,2605.26,2704,5,0
2024-11-12 15:00:00,2605.24,2616.37,2604.47,2614.51,2993,5,0
2024-11-12 15:30:00,2614.43,2614.73,2605.49,2611.58,2916,12,0
2024-11-12 16:00:00,2611.62,2615.38,2609.02,2613.28,2904,14,0
2024-11-12 16:30:00,2612.64,2616.96,2609.85,2610.37,3129,14,0
2024-11-12 17:00:00,2610.36,2611.73,2602.97,2603.34,2953,8,0
2024-11-12 17:30:00,2603.24,2604.37,2597.41,2598.41,3009,5,0
2024-11-12 18:00:00,2598.46,2604.18,2597.77,2599.0,2873,5,0
2024-11-12 18:30:00,2599.06,2601.56,2598.34,2600.74,2594,8,0
2024-11-12 19:00:00,2600.76,2601.1,2592.46,2594.05,2597,14,0
2024-11-12 19:30:00,2594.12,2599.23,2593.36,2597.46,2476,14,0
2024-11-12 20:00:00,2597.54,2602.05,2597.12,2599.51,2375,5,0
2024-11-12 20:30:00,2600.05,2600.05,2596.4,2599.26,2143,5,0
2024-11-12 21:00:00,2599.27,2601.29,2598.74,2599.85,1806,15,0
2024-11-12 21:30:00,2599.82,2600.56,2597.9,2598.12,1876,7,0
2024-11-12 22:00:00,2598.05,2599.26,2595.09,2598.28,1754,7,0
2024-11-12 22:30:00,2598.23,2601.35,2597.48,2599.61,1777,14,0
2024-11-12 23:00:00,2599.96,2600.69,2597.55,2597.61,892,15,0
2024-11-12 23:30:00,2597.6,2598.45,2597.2,2597.98,639,14,0
2024-11-13 01:00:00,2598.53,2599.56,2597.57,2598.37,691,5,0
2024-11-13 01:30:00,2598.32,2599.82,2597.95,2598.97,586,14,0
2024-11-13 02:00:00,2598.97,2599.7,2598.04,2598.95,988,5,0
2024-11-13 02:30:00,2598.96,2599.9,2598.7,2599.42,1203,14,0
2024-11-13 03:00:00,2599.45,2608.64,2599.45,2608.3,2842,14,0
2024-11-13 03:30:00,2608.32,2611.19,2606.53,2607.98,2452,14,0
2024-11-13 04:00:00,2608.25,2608.36,2605.17,2607.22,2139,14,0
2024-11-13 04:30:00,2607.23,2612.6,2605.53,2612.13,2318,13,0
2024-11-13 05:00:00,2612.14,2613.34,2606.94,2608.45,2205,14,0
2024-11-13 05:30:00,2608.42,2612.6,2606.36,2611.61,1628,5,0
2024-11-13 06:00:00,2611.6,2612.42,2609.17,2611.62,1398,12,0
2024-11-13 06:30:00,2611.62,2612.0,2606.11,2606.24,1558,14,0
2024-11-13 07:00:00,2606.33,2607.92,2606.07,2606.35,1525,5,0
2024-11-13 07:30:00,2606.37,2606.82,2603.6,2605.79,2259,14,0
2024-11-13 08:00:00,2605.79,2607.44,2604.22,2605.82,2231,14,0
